11:57 AM,Port,ticker,shares,price
2/2/2026,US_live_port,SHC,274,18.3
2/2/2026,US_live_port,STGW,-221,6.07
2/2/2026,US_live_port,WTW,-1711,316.61
2/2/2026,US_live_port,AON,-934,349.61
2/2/2026,US_live_port,ATR,1604,124.83
2/2/2026,US_live_port,WCC,297,297.8
2/2/2026,US_live_port,ASMB,-4639,26.37
2/2/2026,US_live_port,FSK,210,13.54
2/2/2026,US_live_port,CWK,54,16.2
2/2/2026,US_live_port,CIEN,455,268.49
2/2/2026,US_live_port,GS,158,946.33
2/2/2026,US_live_port,EXC,2959,43.91
2/2/2026,US_live_port,FISI,6549,33.95
2/2/2026,US_live_port,WWD,604,327.25
2/2/2026,US_live_port,ICFI,-466,93.77
2/2/2026,US_live_port,PI,411,148.03
2/2/2026,US_live_port,ADUS,-2083,105.32
2/2/2026,US_live_port,FBIN,-4769,54.4
2/2/2026,US_live_port,BV,117,13.8
2/2/2026,US_live_port,XHR,183,14.91
