as_of_date,ticker,retrieved_at,market_cap
2026-01-28,NVST,2026-07-27T14:04:14-04:00,4001655804.921341
2026-01-28,NVT,2026-07-27T14:04:14-04:00,18419192878.715134
2026-01-28,NWBI,2026-07-27T14:04:14-04:00,1833654976.0678823
2026-01-28,NWL,2026-07-27T14:04:14-04:00,1806751976.013184
2026-01-28,NWN,2026-07-27T14:04:14-04:00,1918455531.907776
2026-01-28,NWPX,2026-07-27T14:04:14-04:00,638604375.1806564
2026-01-28,NWSA,2026-07-27T14:04:14-04:00,15566283162.787804
2026-01-28,NX,2026-07-27T14:04:14-04:00,842757570.9313755
2026-01-28,NXPI,2026-07-27T14:04:14-04:00,60515065930.092926
2026-01-28,NXRT,2026-07-27T14:04:14-04:00,1520957983.717083
2026-01-28,NXST,2026-07-27T14:04:14-04:00,6286922996.791443
2026-01-28,NYT,2026-07-27T14:04:14-04:00,11815761935.421638
2026-01-28,O,2026-07-27T14:04:14-04:00,55150613083.43636
2026-01-28,OBK,2026-07-27T14:04:14-04:00,1261494474.1520882
2026-01-28,OC,2026-07-27T14:04:14-04:00,10082974763.108894
2026-01-28,OCFC,2026-07-27T14:04:14-04:00,1046230046.5986824
2026-01-28,OCUL,2026-07-27T14:04:14-04:00,2190127955.2701874
2026-01-28,ODC,2026-07-27T14:04:14-04:00,837871410.8872948
2026-01-28,ODFL,2026-07-27T14:04:14-04:00,36300241051.9129
2026-01-28,OEC,2026-07-27T14:04:14-04:00,353743164.8097067
2026-01-28,OFG,2026-07-27T14:04:14-04:00,1658430430.478897
2026-01-28,OFIX,2026-07-27T14:04:14-04:00,520339532.855464
2026-01-28,OGE,2026-07-27T14:04:14-04:00,8968958000.138302
2026-01-28,OGN,2026-07-27T14:04:14-04:00,2311248176.9380493
2026-01-28,OGS,2026-07-27T14:04:17-04:00,4680525316.58178
2026-01-28,OHI,2026-07-27T14:04:17-04:00,13109375193.653109
2026-01-28,OI,2026-07-27T14:04:17-04:00,2315721011.5680017
2026-01-28,OII,2026-07-27T14:04:17-04:00,2973159410.635233
2026-01-28,OIS,2026-07-27T14:04:17-04:00,508372362.6928358
2026-01-28,OKE,2026-07-27T14:04:17-04:00,49914460320.10391
2026-01-28,OKTA,2026-07-27T14:04:17-04:00,16081869874.935402
2026-01-28,OLED,2026-07-27T14:04:17-04:00,5611411119.315033
2026-01-28,OLLI,2026-07-27T14:04:17-04:00,6552156321.973251
2026-01-28,OLN,2026-07-27T14:04:17-04:00,2606948502.400635
2026-01-28,OMC,2026-07-27T14:04:17-04:00,24289141586.972706
2026-01-28,OMCL,2026-07-27T14:04:17-04:00,2252615711.094063
2026-01-28,OMER,2026-07-27T14:04:17-04:00,837334450.5410166
2026-01-28,OMF,2026-07-27T14:04:17-04:00,7732516825.413528
2026-01-28,ON,2026-07-27T14:04:17-04:00,26554681490.29896
2026-01-28,ONB,2026-07-27T14:04:17-04:00,9288674388.881683
2026-01-28,ONTO,2026-07-27T14:04:17-04:00,10610831844.27127
2026-01-28,OPCH,2026-07-27T14:04:17-04:00,5634884681.314087
2026-01-28,OPLN,2026-07-27T14:04:17-04:00,3203991584.4374084
2026-01-28,OPY,2026-07-27T14:04:17-04:00,790934877.0306168
2026-01-28,ORA,2026-07-27T14:04:17-04:00,7778245996.436523
2026-01-28,ORC,2026-07-27T14:04:17-04:00,1525438106.6072617
2026-01-28,ORCL,2026-07-27T14:04:17-04:00,496476872768.0969
2026-01-28,ORI,2026-07-27T14:04:17-04:00,9662922311.210632
2026-01-28,ORLY,2026-07-27T14:04:17-04:00,85762301541.82724
2026-01-28,ORN,2026-07-27T14:04:17-04:00,480806792.5105076
2026-01-28,ORRF,2026-07-27T14:04:17-04:00,674072472.9494476
2026-01-28,OSBC,2026-07-27T14:04:17-04:00,1027576572.2950288
2026-01-28,OSCR,2026-07-27T14:04:17-04:00,4281923218.775916
2026-01-28,OSG,2026-07-27T14:04:17-04:00,266809982.0
2026-01-28,OSIS,2026-07-27T14:04:17-04:00,4607625202.169312
2026-01-28,OSK,2026-07-27T14:04:17-04:00,9354285982.456146
2026-01-28,OSPN,2026-07-27T14:04:17-04:00,447631608.3357468
2026-01-28,OSW,2026-07-27T14:04:17-04:00,1989245528.1369493
2026-01-28,OTIS,2026-07-27T14:04:17-04:00,34773304779.130325
2026-01-28,OTTR,2026-07-27T14:04:17-04:00,3627760853.61145
2026-01-28,OUT,2026-07-27T14:04:17-04:00,4082195462.032032
2026-01-28,OVV,2026-07-27T14:04:17-04:00,10829335600.513916
2026-01-28,OWL,2026-07-27T14:04:17-04:00,22666592980.5
2026-01-28,OXM,2026-07-27T14:04:17-04:00,549719608.8005486
2026-01-28,OXY,2026-07-27T14:04:17-04:00,44166985560.19418
2026-01-28,OZK,2026-07-27T14:04:17-04:00,5235883294.643974
2026-01-28,PAG,2026-07-27T14:04:17-04:00,10528133582.381714
2026-01-28,PAGS,2026-07-27T14:04:17-04:00,3493702459.6181107
2026-01-28,PAHC,2026-07-27T14:04:17-04:00,1572703959.4753113
2026-01-28,PANW,2026-07-27T14:04:17-04:00,128066783828.73537
2026-01-28,PAR,2026-07-27T14:04:17-04:00,1158873932.6315002
2026-01-28,PARR,2026-07-27T14:04:17-04:00,1841524342.170765
2026-01-28,PATH,2026-07-27T14:04:17-04:00,7545317857.648266
2026-01-28,PATK,2026-07-27T14:04:17-04:00,4315245855.984924
2026-01-28,PAX,2026-07-27T14:04:20-04:00,2463789097.9837875
2026-01-28,PAY,2026-07-27T14:04:20-04:00,3560915237.174515
2026-01-28,PAYC,2026-07-27T14:04:20-04:00,7856233008.736999
2026-01-28,PAYO,2026-07-27T14:04:20-04:00,2269987995.924736
2026-01-28,PAYX,2026-07-27T14:04:20-04:00,36776214157.01828
2026-01-28,PB,2026-07-27T14:04:20-04:00,6542384305.421631
2026-01-28,PBF,2026-07-27T14:04:20-04:00,3811382531.9692383
2026-01-28,PBH,2026-07-27T14:04:20-04:00,3107875036.894867
2026-01-28,PBI,2026-07-27T14:04:20-04:00,1743605969.1779137
2026-01-28,PCAR,2026-07-27T14:04:20-04:00,64631647136.3028
2026-01-28,PCG,2026-07-27T14:04:20-04:00,32814803315.99903
2026-01-28,PCOR,2026-07-27T14:04:20-04:00,9670225410.61409
2026-01-28,PCRX,2026-07-27T14:04:20-04:00,876773548.3951092
2026-01-28,PCT,2026-07-27T14:04:20-04:00,2045251227.7402115
2026-01-28,PCTY,2026-07-27T14:04:20-04:00,7760689577.991943
2026-01-28,PCVX,2026-07-27T14:04:20-04:00,6724654590.487026
2026-01-28,PD,2026-07-27T14:04:20-04:00,1003331328.382408
2026-01-28,PDFS,2026-07-27T14:04:20-04:00,1361616530.9648056
2026-01-28,PDM,2026-07-27T14:04:20-04:00,998644666.560402
2026-01-28,PEB,2026-07-27T14:04:20-04:00,1341075394.0657568
2026-01-28,PEBO,2026-07-27T14:04:20-04:00,1123215214.7529602
2026-01-28,PECO,2026-07-27T14:04:20-04:00,4877791279.644012
2026-01-28,PEG,2026-07-27T14:04:20-04:00,40656089821.90296
2026-01-28,PEGA,2026-07-27T14:04:20-04:00,8442830606.05162
2026-01-28,PENG,2026-07-27T14:04:20-04:00,1036486279.6698036
2026-01-28,PENN,2026-07-27T14:04:20-04:00,1934562473.75
2026-01-28,PEP,2026-07-27T14:04:20-04:00,203307964794.0
2026-01-28,PFBC,2026-07-27T14:04:20-04:00,1023755060.3876038
2026-01-28,PFE,2026-07-27T14:04:20-04:00,147032400765.0005
2026-01-28,PFG,2026-07-27T14:04:20-04:00,20951372649.935333
2026-01-28,PFGC,2026-07-27T14:04:20-04:00,15270365567.7426
2026-01-28,PFS,2026-07-27T14:04:20-04:00,2902468589.967512
2026-01-28,PFSI,2026-07-27T14:04:20-04:00,7637885146.499542
2026-01-28,PG,2026-07-27T14:04:20-04:00,344294312552.28613
2026-01-28,PGC,2026-07-27T14:04:20-04:00,515507988.64675903
2026-01-28,PGEN,2026-07-27T14:04:20-04:00,1578057279.0373335
2026-01-28,PGNY,2026-07-27T14:04:20-04:00,2114771931.816845
2026-01-28,PGR,2026-07-27T14:04:20-04:00,124708191220.09276
2026-01-28,PH,2026-07-27T14:04:20-04:00,115948540239.27393
2026-01-28,PHM,2026-07-27T14:04:20-04:00,24320871284.665146
2026-01-28,PHR,2026-07-27T14:04:20-04:00,883807454.7809334
2026-01-28,PI,2026-07-27T14:04:20-04:00,4864431292.411377
2026-01-28,PII,2026-07-27T14:04:20-04:00,3652766882.345032
2026-01-28,PINS,2026-07-27T14:04:20-04:00,15339213217.678375
2026-01-28,PIPR,2026-07-27T14:04:20-04:00,1470650271.385002
2026-01-28,PJT,2026-07-27T14:04:20-04:00,7102623149.674957
2026-01-28,PK,2026-07-27T14:04:20-04:00,2145071720.566864
2026-01-28,PKE,2026-07-27T14:04:20-04:00,465466653.44174194
2026-01-28,PKG,2026-07-27T14:04:20-04:00,19580283023.54869
2026-01-28,PLAB,2026-07-27T14:04:20-04:00,2122783116.4270592
2026-01-28,PLAY,2026-07-27T14:04:23-04:00,666554669.4869518
2026-01-28,PLD,2026-07-27T14:04:23-04:00,118086859158.7906
2026-01-28,PLMR,2026-07-27T14:04:23-04:00,3205980798.4633484
2026-01-28,PLNT,2026-07-27T14:04:23-04:00,7718320504.925629
2026-01-28,PLOW,2026-07-27T14:04:23-04:00,852512523.0
2026-01-28,PLPC,2026-07-27T14:04:23-04:00,1221807010.824646
2026-01-28,PLSE,2026-07-27T14:04:23-04:00,918250694.8256396
2026-01-28,PLTR,2026-07-27T14:04:23-04:00,375033722331.6409
2026-01-28,PLUS,2026-07-27T14:04:23-04:00,2240542092.7274017
2026-01-28,PLXS,2026-07-27T14:04:23-04:00,4842153116.16806
2026-01-28,PM,2026-07-27T14:04:23-04:00,278000108483.3286
2026-01-28,PMT,2026-07-27T14:04:23-04:00,1172983782.0869598
2026-01-28,PNC,2026-07-27T14:04:23-04:00,89511048539.4764
2026-01-28,PNFP,2026-07-27T14:04:23-04:00,14091199320.749916
