Date,Port,ticker,shares,price
1/27/2026,US_live_port,BCPC,132,166.1
1/27/2026,US_live_port,BCRX,502,6.76
1/27/2026,US_live_port,BCSF,-3014,13.42
1/27/2026,US_live_port,BDC,-2395,117.57
1/27/2026,US_live_port,BDX,-530,203.4
1/27/2026,US_live_port,BE,612,152.31
1/27/2026,US_live_port,BEAM,-3207,30.7
1/27/2026,US_live_port,BELFB,-357,210.655
1/27/2026,US_live_port,BEN,-4844,25.5
1/27/2026,US_live_port,BEPC,3138,40.26
1/27/2026,US_live_port,BF/B,18121,26.77
1/27/2026,US_live_port,BFAM,1883,91.11
1/27/2026,US_live_port,BFH,-1330,69.45
1/27/2026,US_live_port,BFS,2422,31.38
1/27/2026,US_live_port,BFST,-12256,27.26
1/27/2026,US_live_port,BG,-3755,116.15
1/27/2026,US_live_port,BGC,8801,8.86
1/27/2026,US_live_port,BGS,-2181,4.47
1/27/2026,US_live_port,BH,131,398.36
1/27/2026,US_live_port,BH/A,-213,2049.97
1/27/2026,US_live_port,BHB,9321,33.19
1/27/2026,US_live_port,BHE,388,49
1/27/2026,US_live_port,BHVN,-76,12.67
1/27/2026,US_live_port,BIIB,13,174.12
1/27/2026,US_live_port,BILL,912,47.06
1/27/2026,US_live_port,BIO,-43,297.71
1/27/2026,US_live_port,BJ,1046,95.46
1/27/2026,US_live_port,BJRI,362,42.07
1/27/2026,US_live_port,BKD,9296,12.92
1/27/2026,US_live_port,BKE,1925,48.97
1/27/2026,US_live_port,BKH,2065,73.62
1/27/2026,US_live_port,BKNG,52,206.136
1/27/2026,US_live_port,BKR,4573,56.5
1/27/2026,US_live_port,BKU,2576,47.61
1/27/2026,US_live_port,BL,-119,53.15
1/27/2026,US_live_port,BLBD,2361,50.61
1/27/2026,US_live_port,BLD,-85,480.55
1/27/2026,US_live_port,BLDR,1074,117.29
1/27/2026,US_live_port,BLFS,-685,24.98
1/27/2026,US_live_port,BLK,76,1106.69
1/27/2026,US_live_port,BLKB,3566,54.73
1/27/2026,US_live_port,BLMN,10099,6.685
1/27/2026,US_live_port,BLX,-8781,47.65
1/27/2026,US_live_port,BMI,1293,164.41
1/27/2026,US_live_port,BMRN,10125,56.85
1/27/2026,US_live_port,BMY,1118,55.56
1/27/2026,US_live_port,BNL,1206,18.31
1/27/2026,US_live_port,BOH,1362,74.76
1/27/2026,US_live_port,BOKF,3473,129.78
1/27/2026,US_live_port,BOOT,322,178.69
1/27/2026,US_live_port,BOX,-3669,26.56
1/27/2026,US_live_port,BPOP,183,130.6
1/27/2026,US_live_port,BPRN,-269,37.25
1/27/2026,US_live_port,BR,9,206.42
1/27/2026,US_live_port,BRBR,-459,26.07
1/27/2026,US_live_port,BRC,147,84.58
1/27/2026,US_live_port,BRK/B,-709,474.67
1/27/2026,US_live_port,BRKR,4177,47.67
1/27/2026,US_live_port,BRO,-2539,74.12
1/27/2026,US_live_port,BROS,-4155,57.82
1/27/2026,US_live_port,BRSL,2243,14.22
1/27/2026,US_live_port,BRSP,1927,5.96
