ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_pct_of_daily_market_volume,position_value_pct_dollar_adv,liquidation_participation_rate,estimated_days_to_liquidate,estimated_full_trading_days
MASI,-118,136.25,-16077.5,784095.65,108442545.575,0.00015049184369279436,0.015049184369279435,0.0001482582312574047,0.1,0.0015049184369279435,1
MAT,7074,20.77,146926.98,2814923.8,59322743.700750016,0.0025130342782280646,0.25130342782280646,0.002476739456643547,0.1,0.025130342782280646,1
MATV,9139,12.3,112409.70000000001,259149.95,3253830.192,0.03526529717640308,3.526529717640308,0.03454688578290751,0.1,0.35265297176403076,1
MATW,-1191,26.02,-30989.82,239698.05,6497719.539999999,0.004968751310242199,0.4968751310242199,0.004769337889889905,0.1,0.04968751310242198,1
MATX,-1239,161.27,-199813.53,313871.85,45291830.2185,0.00394747091846561,0.394747091846561,0.004411690343182107,0.1,0.03947470918465609,1
MBIN,-545,40.44,-22039.8,163266.3,5841874.378999999,0.003338104679287765,0.3338104679287765,0.0037727274792534534,0.1,0.03338104679287765,1
MBUU,-130,32.23,-4189.9,167554.15,5355807.3695,0.0007758685774121382,0.07758685774121382,0.0007823096894523214,0.1,0.007758685774121381,1
MBWM,-4099,51.32,-210360.68,104305.6,5222287.389,0.0392979859183016,3.9297985918301603,0.04028132967999704,0.1,0.392979859183016,1
MC,-1489,71.73,-106805.97,746889.6,55503068.777499996,0.0019936011962142734,0.19936011962142733,0.0019243254896078347,0.1,0.019936011962142734,1
MCB,604,92.0,55568.0,185454.6,15968173.899500001,0.0032568617871975136,0.32568617871975136,0.003479922021749773,0.1,0.03256861787197513,1
MCD,1654,315.51,521853.54,3085612.1,947877031.7299999,0.0005360362697566554,0.05360362697566554,0.0005505498313927375,0.1,0.005360362697566554,1
