ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_value_pct_dollar_adv
APO,-367,132.88999938964844,-48770.62977600098,2938220.0,414749006.6844177,0.00012490555506395029,0.00011759070905529743
APOG,2341,38.060001373291016,89098.46321487427,356545.0,12967507.701301575,0.006565791134358917,0.006870901122035291
APP,-652,542.3599853515625,-353618.71044921875,4954060.0,2917862295.093384,0.0001316092255644865,0.00012119102092098608
APPF,-610,218.0,-132980.0,292060.0,64738457.47276306,0.0020886119290556733,0.002054111345732136
APPN,5767,30.209999084472656,174221.0647201538,953735.0,29840955.953531265,0.0060467530288811884,0.005838320494539558
APTV,-3078,77.80999755859375,-239499.17248535156,2314350.0,188217262.14004517,0.0013299630565817616,0.001272461249102378
AR,-4927,34.459999084472656,-169784.41548919678,6535770.0,217417042.28099823,0.0007538514972222095,0.000780915855113882
ARCB,1211,85.9800033569336,104121.78406524658,320415.0,27705201.351280212,0.0037794734953107687,0.0037582034775731844
ARDX,155,7.860000133514404,1218.3000206947327,6702785.0,47516749.490401745,2.3124716069514387e-05,2.5639380508147468e-05
ARE,-3455,54.61000061035156,-188677.55210876465,2686190.0,147892421.4550209,0.0012862083471385122,0.0012757756635024594
ARES,-996,149.8000030517578,-149200.80303955078,1947305.0,318361468.0166626,0.0005114761169924588,0.0004686522020678137
ARI,-45628,10.680000305175781,-487307.05392456055,1188135.0,12004405.852942467,0.0384030434252,0.04059401688798401
ARLO,3164,12.869999885559082,40720.679637908936,1111680.0,15125953.264751434,0.0028461427748992514,0.002692106667604338
ARMK,13663,38.5,526025.5,2322655.0,89622773.80340576,0.005882492234102784,0.005869328494048579
AROC,15857,28.3700008392334,449863.103307724,1295395.0,34551164.74093437,0.012241053887038316,0.013020200814670374
ARQT,23,25.450000762939453,585.3500175476074,1553215.0,42827130.8360672,1.4807995029664277e-05,1.3667738326627531e-05
ARR,22471,18.469999313354492,415039.3545703888,3961520.0,73068844.93808746,0.0056723176962378075,0.005680113801197474
ARVN,5212,12.930000305175781,67391.16159057617,731680.0,8982315.418491364,0.007123332604417232,0.007502649200209777
ARW,-3269,128.41000366210938,-419772.30197143555,508000.0,59431493.40648651,0.00643503937007874,0.007063128955894965
ARWR,2261,65.58000183105469,148276.38414001465,2672000.0,178117165.22304535,0.000846182634730539,0.0008324654389953776
ASAN,13855,11.109999656677246,153929.04524326324,3676950.0,43893147.91982174,0.003768068643848842,0.003506903754646185
ASB,1862,26.799999237060547,49901.59857940674,2369855.0,63025334.01798248,0.0007857020788191683,0.0007917704738410231
ASC,567,12.260000228881836,6951.420129776001,636975.0,7346379.69912529,0.0008901448251501236,0.0009462375230351467
ASGN,-7061,,,,,,
ASH,442,62.119998931884766,27457.039527893066,576350.0,35844811.92392349,0.000766895115815043,0.0007659975894466259
